Tipo,Projeto,Tipo de Atividade,Associar Atividade,Associar tarefa,Data,Duração,Comentarios
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,02/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,03/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,04/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,07/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,08/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,09/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,10/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,11/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,14/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,15/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,16/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,17/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,18/02/2022,06:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,21/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,22/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,23/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,24/02/2022,08:00,
PROJETOS,T15C0130.6,Nenhum,1.10,Nenhum,25/02/2022,08:00,
